slug,name,kind,class,slot,rarity,num_variants,socket_count,socket_shapes
stealth-12-white,Stealth 12 White,armor,Shadowstrix,Necklace,Common,0,,
stellar-12-orange,Stellar 12 Orange,armor,Sorcerer,Necklace,Legendary,0,,
stellar-12-purple-orange,Stellar 12 Purple-Orange,armor,Sorcerer,Necklace,Epic,0,,
stellar-12-purple,Stellar 12 Purple,armor,Sorcerer,Necklace,Epic,0,,
stun-12-blue-purple,Stun 12 Blue-Purple,armor,Mercenary,Necklace,Excellent,0,,
stun-12-blue,Stun 12 Blue,armor,Mercenary,Necklace,Excellent,0,,
stun-12-gray,Stun 12 Gray,armor,Mercenary,Necklace,Damaged,0,,
stun-12-green-blue,Stun 12 Green-Blue,armor,Mercenary,Necklace,Rare,0,,
stun-12-green,Stun 12 Green,armor,Mercenary,Necklace,Rare,0,,
stun-12-orange,Stun 12 Orange,armor,Mercenary,Necklace,Legendary,0,,
stun-12-purple-orange,Stun 12 Purple-Orange,armor,Mercenary,Necklace,Epic,0,,
stun-12-purple,Stun 12 Purple,armor,Mercenary,Necklace,Epic,0,,
stun-12-white-no-accessory,Stun 12 White No Accessory,armor,Mercenary,Necklace,Common,0,,
stun-12-white,Stun 12 White,armor,Mercenary,Necklace,Common,0,,
super-armor-12-blue-purple,Super Armor 12 Blue-Purple,armor,Seer,Necklace,Excellent,0,,
super-armor-12-blue,Super Armor 12 Blue,armor,Seer,Necklace,Excellent,0,,
super-armor-12-gray,Super Armor 12 Gray,armor,Seer,Necklace,Damaged,0,,
super-armor-12-green-blue,Super Armor 12 Green-Blue,armor,Seer,Necklace,Rare,0,,
super-armor-12-green,Super Armor 12 Green,armor,Seer,Necklace,Rare,0,,
super-armor-12-orange,Super Armor 12 Orange,armor,Seer,Necklace,Legendary,0,,
super-armor-12-purple-orange,Super Armor 12 Purple-Orange,armor,Seer,Necklace,Epic,0,,
super-armor-12-purple,Super Armor 12 Purple,armor,Seer,Necklace,Epic,0,,
super-armor-12-white-no-accessories,Super Armor 12 White (No Accessories),armor,Seer,Necklace,Common,0,,
super-armor-12-white,Super Armor 12 White,armor,Seer,Necklace,Common,0,,
support-12-blue-purple,Support 12 Blue-Purple,armor,Seer,Necklace,Excellent,0,,
support-12-blue,Support 12 Blue,armor,Seer,Necklace,Excellent,0,,
support-12-gray,Support 12 Gray,armor,Seer,Necklace,Damaged,0,,
support-12-green-blue,Support 12 Green-Blue,armor,Seer,Necklace,Rare,0,,
support-12-green,Support 12 Green,armor,Seer,Necklace,Rare,0,,
support-12-orange,Support 12 Orange,armor,Seer,Necklace,Legendary,0,,
support-12-purple-orange,Support 12 Purple-Orange,armor,Seer,Necklace,Epic,0,,
support-12-purple,Support 12 Purple,armor,Seer,Necklace,Epic,0,,
support-12-white-no-accessories,Support 12 White (No Accessories),armor,Seer,Necklace,Common,0,,
support-12-white,Support 12 White,armor,Seer,Necklace,Common,0,,
training-apprentice-boots,Training Apprentice Boots,armor,"Sorcerer, Seer",Feet,Damaged,1,,
training-apprentice-bracers,Training Apprentice Bracers,armor,"Sorcerer, Seer",Hands,Damaged,1,,
training-apprentice-hood,Training Apprentice Hood,armor,"Sorcerer, Seer",Head,Damaged,1,,
training-apprentice-pants,Training Apprentice Pants,armor,"Sorcerer, Seer",Legs,Damaged,1,,
training-apprentice-robe,Training Apprentice Robe,armor,"Sorcerer, Seer",Chest,Damaged,1,,
training-ground-bot-purple-life-ring,Training Ground Bot Purple Life Ring,armor,Any,Ring,Epic,0,,
travelers-ring,Traveler's Ring,armor,Any,Ring,Rare,3,,
tri-phase-knot-pendant,Tri-phase Knot Pendant,armor,Any,Necklace,Legendary,3,,
true-prayer-bracers,True Prayer Bracers,armor,Seer,Hands,Epic,9,,
true-prayer-greaves,True Prayer Greaves,armor,Seer,Feet,Epic,9,,
true-prayer-miter,True Prayer Miter,armor,Seer,Head,Epic,9,,
true-prayer-pants,True Prayer Pants,armor,Seer,Legs,Epic,9,,
true-prayer-vestment,True Prayer Vestment,armor,Seer,Chest,Epic,9,,
veteran-armor,Veteran Armor,armor,Mercenary,Chest,Rare,9,,
veteran-boots,Veteran Boots,armor,Mercenary,Feet,Rare,9,,
veteran-bracers,Veteran Bracers,armor,Mercenary,Hands,Rare,9,,
veteran-helmet,Veteran Helmet,armor,Mercenary,Head,Rare,9,,
veteran-pants,Veteran Pants,armor,Mercenary,Legs,Rare,9,,
warrior-pendant,Warrior Pendant,armor,Any,Necklace,Rare,3,,
woodling-guardian-ring,Woodling Guardian Ring,armor,Any,Ring,Excellent,3,,
absolution,Absolution,weapon,Seer,Weapon,Legendary,9,,
antique-mace,Antique Mace,weapon,Seer,Weapon,Excellent,9,,
apprentice-staff,Apprentice Staff,weapon,Sorcerer,Weapon,Common,1,,
arcane-elixir-catalyst,Arcane Elixir Catalyst,weapon,Seer,Weapon,Excellent,9,,
beast-spirit-catalyst,Beast Spirit Catalyst,weapon,Seer,Weapon,Rare,9,,
blade-of-destined-death,Blade of Destined Death,weapon,Shadowstrix,Weapon,Epic,9,,
blind-eye-staff,Blind Eye Staff,weapon,Sorcerer,Weapon,Legendary,9,,
bond-of-friendship,Bond of Friendship,weapon,Mercenary,Weapon,Legendary,9,,
byrness-ash-urn,Byrnes's Ash Urn,weapon,Seer,Weapon,Legendary,9,,
carved-dagger,Carved Dagger,weapon,Shadowstrix,Weapon,Common,1,,
character-creation-bow,Character Creation Bow,weapon,Any,Weapon,Damaged,0,,
commander-sword-and-shield,Commander Sword and Shield,weapon,Mercenary,Weapon,Epic,9,,
convergence-staff,Convergence Staff,weapon,Sorcerer,Weapon,Excellent,9,,
crude-hammer,Crude Hammer,weapon,Mercenary,Weapon,Common,1,,
crude-heavy-hammer,Crude Heavy Hammer,weapon,Any,Weapon,Common,0,,
crusader-strongbow,Crusader Strongbow,weapon,Blackarrow,Weapon,Epic,9,,
deathclaw-hunter,Deathclaw Hunter,weapon,Blackarrow,Weapon,Legendary,9,,
empyrean-rain-staff,Empyrean Rain Staff,weapon,Sorcerer,Weapon,Epic,9,,
executioner-greatsword,Executioner Greatsword,weapon,Withered Knight,Weapon,Rare,9,,
exile-greatsword,Exile Greatsword,weapon,Withered Knight,Weapon,Excellent,9,,
faded-apprentice-staff,Faded Apprentice Staff,weapon,Sorcerer,Weapon,Damaged,1,,
fang-piercer-dagger,Fang-Piercer Dagger,weapon,Shadowstrix,Weapon,Rare,9,,
fine-iron-sword-and-shield,Fine Iron Sword and Shield,weapon,Mercenary,Weapon,Rare,9,,
focus-staff,Focus Staff,weapon,Sorcerer,Weapon,Rare,9,,
gem-lizard-dagger,Gem Lizard Dagger,weapon,Shadowstrix,Weapon,Epic,9,,
guard-polearm-and-shield,Guard Polearm and Shield,weapon,Withered Knight,Weapon,Rare,9,,
handcrafted-longbow,Handcrafted Longbow,weapon,Blackarrow,Weapon,Common,1,,
insatiable-heart-cornered-beast-bow,Insatiable Heart - Cornered Beast Bow,weapon,Blackarrow,Weapon,Holy,9,,
insatiable-heart-demolisher,Insatiable Heart - Demolisher,weapon,Mercenary,Weapon,Holy,9,,
insatiable-heart-everburn,Insatiable Heart - Everburn,weapon,Withered Knight,Weapon,Holy,9,,
insatiable-heart-soulseeker-bow,Insatiable Heart - Soulseeker Bow,weapon,Blackarrow,Weapon,Holy,9,,
javelin-scout-unique,Javelin Scout (Unique),weapon,Blackarrow,Weapon,Holy,0,,
magica-hammer,Magica Hammer,weapon,Mercenary,Weapon,Excellent,9,,
magical-knot-catalyst,Magical Knot Catalyst,weapon,Seer,Weapon,Common,1,,
mercy,Mercy,weapon,Withered Knight,Weapon,Legendary,9,,
military-hammer,Military Hammer,weapon,Mercenary,Weapon,Rare,9,,
moon-deity-convergence-staff,Moon Deity - Convergence Staff,weapon,Sorcerer,Weapon,Holy,9,,
moon-deity-crescent-dagger,Moon Deity - Crescent Dagger,weapon,Shadowstrix,Weapon,Holy,9,,
moon-deity-invocation-catalyst,Moon Deity - Invocation Catalyst,weapon,Seer,Weapon,Holy,9,,
moon-deity-myriad-soul-staff,Moon Deity - Myriad Soul Staff,weapon,Sorcerer,Weapon,Holy,9,,
moon-deity-souleater-catalyst,Moon Deity - Souleater Catalyst,weapon,Seer,Weapon,Holy,9,,
morningstar-mace,Morningstar Mace,weapon,Seer,Weapon,Rare,9,,
night-vigil-polearm-and-shield,Night Vigil Polearm and Shield,weapon,Withered Knight,Weapon,Epic,9,,
obsidian-sledgehammer,Obsidian Sledgehammer,weapon,Mercenary,Weapon,Epic,9,,
oil-soaked-wooden-bow,Oil-soaked Wooden Bow,weapon,Blackarrow,Weapon,Rare,9,,
purple-training-bot-great-hammer,Purple Training Bot Great Hammer,weapon,Mercenary,Weapon,Epic,0,,
purple-training-bot-sword-shield,Purple Training Bot Sword & Shield,weapon,Mercenary,Weapon,Epic,0,,
recruit-sword-and-shield,Recruit Sword and Shield,weapon,Mercenary,Weapon,Common,1,,
rose-proclamation,Rose Proclamation,weapon,Withered Knight,Weapon,Legendary,9,,
rough-handcrafted-longbow,Rough Handcrafted Longbow,weapon,Blackarrow,Weapon,Damaged,1,,
rusty-crude-hammer,Rusty Crude Hammer,weapon,Mercenary,Weapon,Damaged,1,,
rusty-recruit-sword-and-shield,Rusty Recruit Sword and Shield,weapon,Mercenary,Weapon,Damaged,1,,
rusty-spiked-mace,Rusty Spiked Mace,weapon,Seer,Weapon,Damaged,1,,
rusty-squire-greatsword,Rusty Squire Greatsword,weapon,Withered Knight,Weapon,Damaged,1,,
rusty-squire-polearm-and-shield,Rusty Squire Polearm and Shield,weapon,Withered Knight,Weapon,Damaged,1,,
rusty-wooden-handled-dual-blades,Rusty Wooden-Handled Dual Blades,weapon,Shadowstrix,Weapon,Damaged,1,,
sacred-heart-greatsword,Sacred Heart Greatsword,weapon,Withered Knight,Weapon,Epic,9,,
serpents-whisper,Serpent's Whisper,weapon,Shadowstrix,Weapon,Legendary,9,,
skullcrusher,Skullcrusher,weapon,Mercenary,Weapon,Legendary,9,,
spiked-mace,Spiked Mace,weapon,Seer,Weapon,Common,1,,
spirit-feline-dual-blades,Spirit Feline Dual Blades,weapon,Shadowstrix,Weapon,Rare,9,,
spiritwood-drumstick,Spiritwood Drumstick,weapon,Seer,Weapon,Epic,9,,
squire-greatsword,Squire Greatsword,weapon,Withered Knight,Weapon,Common,1,,
squire-polearm-and-shield,Squire Polearm and Shield,weapon,Withered Knight,Weapon,Common,1,,
studded-sword-and-shield,Studded Sword and Shield,weapon,Mercenary,Weapon,Excellent,9,,
thorn-polearm-and-shield,Thorn Polearm and Shield,weapon,Withered Knight,Weapon,Excellent,9,,
true-intent-catalyst,True Intent Catalyst,weapon,Seer,Weapon,Epic,9,,
ttk-bow,TTK Bow,weapon,Blackarrow,Weapon,Damaged,0,,
ttk-dagger,TTK Dagger,weapon,Shadowstrix,Weapon,Damaged,0,,
ttk-dual-blades,TTK Dual Blades,weapon,Shadowstrix,Weapon,Damaged,0,,
ttk-javelin,TTK Javelin,weapon,Blackarrow,Weapon,Damaged,0,,
ttk-mace,TTK Mace,weapon,Seer,Weapon,Damaged,0,,
ttk-medium,TTK Medium,weapon,Seer,Weapon,Damaged,0,,
ttk-spear-shield,TTK Spear & Shield,weapon,Withered Knight,Weapon,Damaged,0,,
ttk-spellbook,TTK Spellbook,weapon,Sorcerer,Weapon,Damaged,0,,
ttk-staff,TTK Staff,weapon,Sorcerer,Weapon,Damaged,0,,
ttk-sword-and-shield,TTK Sword and Shield,weapon,Mercenary,Weapon,Damaged,0,,
ttk-two-handed-sword,TTK Two-Handed Sword,weapon,Withered Knight,Weapon,Damaged,0,,
ttk-warhammer,TTK Warhammer,weapon,Mercenary,Weapon,Damaged,0,,
twilight-knot-catalyst,Twilight Knot Catalyst,weapon,Seer,Weapon,Damaged,1,,
veil-dual-blades,Veil Dual Blades,weapon,Shadowstrix,Weapon,Excellent,9,,
venomfang-dagger,Venomfang Dagger,weapon,Shadowstrix,Weapon,Excellent,9,,
venomfang,Venomfang,weapon,Shadowstrix,Weapon,Legendary,9,,
wooden-handled-dual-blades,Wooden-Handled Dual Blades,weapon,Shadowstrix,Weapon,Common,1,,
worn-carved-dagger,Worn Carved Dagger,weapon,Shadowstrix,Weapon,Damaged,1,,
wulfen-einherjar-blade-of-inquisition,Wulfen Einherjar - Blade of Inquisition,weapon,Withered Knight,Weapon,Holy,9,,
wulfen-einherjar-oathkeeper,Wulfen Einherjar - Oathkeeper,weapon,Mercenary,Weapon,Holy,9,,
wulfen-einherjar-splitclaw,Wulfen Einherjar - Splitclaw,weapon,Shadowstrix,Weapon,Holy,9,,
wulfen-einherjar-warcry-spike,Wulfen Einherjar - Warcry Spike,weapon,Seer,Weapon,Holy,9,,
yew-longbow,Yew Longbow,weapon,Blackarrow,Weapon,Excellent,9,,
